ID,LONG,LAT,SUB_Basin,Elevation,AAP(mm),RiverDIST(m),FaultDIST(m),Landuse_Type,Slop(Percent),Slop(Degrees),GEO_UNIT,DES_GEOUNI,Climate_Type,DES_ClimateType
3783,54.98,36.808,Gorgan,1193,138,1351.08588,6327.92594,denseforest,34.3993645,18.982893,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3784,54.818,36.818,Gorgan,716,138,642.0157678,277.9469274,denseforest,58.2763596,30.2320766,pCmt2," Low - grade , regional metamorphic rocks (Green Schist Facies )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3785,54.982,36.81,Gorgan,1144,138,1248.470908,6278.39274,denseforest,42.8670082,23.2033653,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3786,54.942,36.787,Gorgan,1684,138,1208.604096,6787.822564,denseforest,22.1761456,12.5036478,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-K-W,"Hot and dry, with a dry period longer than the humid period"
3787,54.985,36.818,Gorgan,893,138,718.1695692,5858.5294,denseforest,25.4809742,14.2953167,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3788,54.958,36.8,Gorgan,1457,138,816.7302855,6097.307634,denseforest,43.1056137,23.3187542,Pd," Peridolites including dunite , harzburgite and serpentinite",A-K-W,"Hot and dry, with a dry period longer than the humid period"
3789,55.026,36.814,Gorgan,700,132,190.6226136,8984.837674,mix(lowforest_x),49.4761772,26.3244457,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3790,55.004,36.771,Gorgan,1148,132,20.84391605,8360.785074,denseforest,14.1869774,8.0746536,Pd," Peridolites including dunite , harzburgite and serpentinite",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3791,55.004,36.771,Gorgan,1148,132,20.84391605,8360.785074,denseforest,14.1869774,8.0746536,Pd," Peridolites including dunite , harzburgite and serpentinite",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3792,55.026,36.812,Gorgan,655,132,19.36224488,9124.141046,mix(lowforest_x),24.5203342,13.7772913,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3793,54.874,36.882,Gorgan,341,138,949.001196,1127.290285,denseforest,24.9850388,14.0281754,"Qs,d", Unconsolidated  wind blown sand deposite including sand dunes,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
3794,54.993,36.832,Gorgan,675,138,475.8800628,5438.997238,mix(lowforest_x),24.3140011,13.6657228,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3795,55.204,36.852,Gorgan,1550,132,447.0846559,3571.570511,mix(modforest_x),18.1505737,10.2875175,TRjs,"Sandstone , siltstone and claystone , variously alternating with thin coal seams ( SHEMSHAK FM . )",A-K-W,"Hot and dry, with a dry period longer than the humid period"
3796,55.228,36.851,Gorgan,1490,132,331.9427686,4841.171455,denseforest,20.3023014,11.4763794,TRjs,"Sandstone , siltstone and claystone , variously alternating with thin coal seams ( SHEMSHAK FM . )",A-K-W,"Hot and dry, with a dry period longer than the humid period"
3797,55.236,36.848,Gorgan,1681,132,200.0103123,4099.943112,denseforest,30.6035442,17.0159683,TRjs,"Sandstone , siltstone and claystone , variously alternating with thin coal seams ( SHEMSHAK FM . )",A-K-W,"Hot and dry, with a dry period longer than the humid period"
3798,55.089,36.911,Gorgan,1433,132,1219.435752,5134.390881,mix(modforest_x),23.204361,13.0639219,K,Cretaceous rocks ingeneral,A-K-W,"Hot and dry, with a dry period longer than the humid period"
3799,55.12,36.766,Gorgan,2098,132,1366.850168,3460.183776,denseforest,34.401989,18.9842377,DCkh,"Yellowish , thin to tkick - bedded ,fossiliferous argillaceous limestone , dark grey limstone , greenish marl and shale ,locally including gypsum ( Khoshyeilagh Fm . )",SA-K-W,"Hot and dry, with a dry period longer than the humid period"
3800,54.993,36.832,Gorgan,675,138,475.8800628,5438.997238,mix(lowforest_x),24.3140011,13.6657228,Cm,"Thin - bedded to thick - bedded dolomite , fossiliferous flaggy limestone , siltstone and sandstone ( MILA FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
3801,55.089,36.916,Gorgan,1335,132,1623.614347,5466.420621,mix(modforest_x),22.4029846,12.6274652,Kl, Lower Cretaceous undifferentiated rocks,A-C-W,"Hot and dry, with a dry period longer than the humid period"
